Feature1_time,"Feature1_[x,y]",Feature2_time,"Feature2_[x,y]"
0,"[0.62, 0.67]",0,"[0.71, 0.67]"
1,"[0.61, 0.67]",1,"[0.70, 0.67]"
2,"[0.60, 0.67]",2,"[0.68, 0.67]"
3,"[0.59, 0.67]",3,"[0.68, 0.67]"
4,"[0.59, 0.67]",4,"[0.67, 0.67]"
5,"[0.58, 0.67]",5,"[0.67, 0.67]"
6,"[0.57, 0.66]",6,"[0.65, 0.67]"
7,"[0.56, 0.66]",7,"[0.64, 0.67]"
8,"[0.55, 0.66]",8,"[0.63, 0.67]"
9,"[0.54, 0.66]",9,"[0.63, 0.67]"
10,"[0.54, 0.66]",10,"[0.62, 0.67]"
11,"[0.54, 0.66]",11,"[0.62, 0.67]"
12,"[0.52, 0.66]",12,"[0.61, 0.67]"
13,"[0.52, 0.66]",13,"[0.60, 0.67]"
14,"[0.51, 0.66]",14,"[0.59, 0.67]"
15,"[0.50, 0.66]",15,"[0.58, 0.67]"
16,"[0.49, 0.66]",16,"[0.57, 0.66]"
17,"[0.48, 0.66]",17,"[0.57, 0.66]"
18,"[0.47, 0.65]",18,"[0.55, 0.66]"
19,"[0.46, 0.65]",19,"[0.55, 0.66]"
20,"[0.46, 0.65]",20,"[0.54, 0.66]"
21,"[0.44, 0.65]",21,"[0.53, 0.66]"
22,"[0.44, 0.65]",22,"[0.52, 0.66]"
23,"[0.43, 0.65]",23,"[0.51, 0.66]"
24,"[0.42, 0.65]",24,"[0.50, 0.66]"
25,"[0.41, 0.65]",25,"[0.49, 0.66]"
26,"[0.40, 0.65]",26,"[0.48, 0.66]"
27,"[0.39, 0.65]",27,"[0.47, 0.65]"
28,"[0.39, 0.65]",28,"[0.46, 0.65]"
29,"[0.38, 0.65]",29,"[0.46, 0.65]"
30,"[0.37, 0.64]",30,"[0.44, 0.65]"
31,"[0.36, 0.64]",31,"[0.44, 0.65]"
32,"[0.35, 0.64]",32,"[0.43, 0.65]"
33,"[0.34, 0.64]",33,"[0.42, 0.65]"
34,"[0.34, 0.64]",34,"[0.41, 0.65]"
35,"[0.33, 0.64]",35,"[0.41, 0.65]"
36,"[0.32, 0.64]",36,"[0.39, 0.65]"
37,"[0.31, 0.64]",37,"[0.39, 0.65]"
38,"[0.31, 0.64]",38,"[0.38, 0.65]"
39,"[0.30, 0.64]",39,"[0.37, 0.64]"
40,"[0.29, 0.64]",40,"[0.36, 0.64]"
41,"[0.29, 0.64]",41,"[0.36, 0.64]"
42,"[0.28, 0.64]",42,"[0.35, 0.64]"
43,"[0.27, 0.64]",43,"[0.34, 0.64]"
44,"[0.26, 0.64]",44,"[0.33, 0.64]"
45,"[0.25, 0.64]",45,"[0.32, 0.64]"
46,"[0.25, 0.64]",46,"[0.31, 0.64]"
47,"[0.24, 0.64]",47,"[0.31, 0.64]"
48,"[0.24, 0.63]",48,"[0.30, 0.64]"
49,"[0.23, 0.62]",49,"[0.29, 0.64]"
50,"[0.22, 0.61]",50,"[0.28, 0.64]"
51,"[0.21, 0.60]",51,"[0.28, 0.64]"
52,"[0.21, 0.60]",52,"[0.27, 0.64]"
53,"[0.21, 0.60]",53,"[0.27, 0.64]"
54,"[0.20, 0.60]",54,"[0.26, 0.63]"
55,"[0.20, 0.60]",55,"[0.26, 0.63]"
56,"[0.19, 0.61]",56,"[0.25, 0.63]"
57,"[0.19, 0.60]",57,"[0.25, 0.64]"
58,"[0.18, 0.60]",58,"[0.24, 0.64]"
59,"[0.18, 0.60]",59,"[0.24, 0.64]"
60,"[0.18, 0.60]",60,"[0.23, 0.63]"
61,"[0.17, 0.60]",61,"[0.23, 0.63]"
62,"[0.17, 0.60]",62,"[0.23, 0.62]"
63,"[0.17, 0.60]",63,"[0.23, 0.60]"
64,"[0.17, 0.60]",64,"[0.23, 0.59]"
65,"[0.17, 0.60]",65,"[0.22, 0.58]"
66,"[0.17, 0.60]",66,"[0.22, 0.55]"
67,"[0.17, 0.60]",67,"[0.21, 0.53]"
68,"[0.17, 0.60]",68,"[0.21, 0.51]"
69,"[0.17, 0.60]",69,"[0.20, 0.50]"
70,"[0.17, 0.60]",70,"[0.20, 0.49]"
71,"[0.18, 0.60]",71,"[0.20, 0.49]"
72,"[0.18, 0.61]",72,"[0.19, 0.48]"
73,"[0.17, 0.60]",73,"[0.19, 0.48]"
74,"[0.17, 0.60]",74,"[0.19, 0.48]"
75,"[0.18, 0.61]",75,"[0.18, 0.48]"
76,"[0.18, 0.60]",76,"[0.18, 0.48]"
77,"[0.18, 0.61]",77,"[0.18, 0.47]"
78,"[0.18, 0.60]",78,"[0.17, 0.48]"
79,"[0.18, 0.60]",79,"[0.16, 0.49]"
80,"[0.18, 0.60]",80,"[0.15, 0.49]"
81,"[0.18, 0.60]",81,"[0.14, 0.49]"
82,"[0.18, 0.59]",82,"[0.14, 0.49]"
83,"[0.17, 0.59]",83,"[0.14, 0.49]"
84,"[0.17, 0.58]",84,"[0.13, 0.50]"
85,"[0.17, 0.57]",85,"[0.12, 0.52]"
86,"[0.17, 0.57]",86,"[0.11, 0.53]"
87,"[0.16, 0.57]",87,"[0.11, 0.53]"
88,"[0.16, 0.57]",88,"[0.11, 0.54]"
89,"[0.16, 0.57]",89,"[0.10, 0.55]"
